,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
68,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,29,1990,32.0,1.06,0.06,0.00,0.25,0.00,1.18,0.31,0.11,+0.11,5.16,12.4,41.5,32.6,5.72,30.5,33.1,7.06,35.4,35.2,7.59,0.59,7.8,1.50,1.50,0.54,Matches
69,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,eng Premier League,23,1996,10.0,2.50,0.20,0.10,0.10,0.00,1.81,0.31,-0.69,-0.69,4.60,19.0,24.2,17.7,2.40,68.9,50.4,7.90,86.1,60.4,8.10,0.60,7.4,0.80,0.80,1.64,Matches
70,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,fr Ligue 1,32,1986,28.0,1.79,0.04,0.04,0.46,0.04,1.46,0.29,-0.29,-0.29,8.25,18.6,44.3,20.3,3.39,55.7,43.6,9.07,80.7,55.4,9.61,0.54,5.6,0.39,0.39,0.49,Matches
71,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,35,1984,35.0,0.91,0.06,0.00,0.11,0.03,0.93,0.28,0.04,+0.04,4.23,8.11,52.1,24.3,5.34,24.2,29.4,7.54,29.5,30.3,9.54,0.60,6.3,0.34,0.34,0.34,Matches
72,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,eng Premier League,33,1986,19.9,1.76,0.15,0.05,0.35,0.05,1.64,0.31,-0.07,-0.07,6.48,19.3,33.6,21.0,4.77,57.7,45.9,9.85,73.0,56.5,11.3,0.85,7.6,0.40,0.40,0.59,Matches
73,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,eng Premier League,22,1997,36.0,0.92,0.03,0.00,0.06,0.00,1.06,0.30,0.14,+0.14,7.00,23.7,29.5,21.6,2.75,77.7,58.7,7.17,96.5,75.7,8.08,0.64,7.9,0.47,0.47,0.38,Matches
74,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,32,1987,3.0,2.67,0.00,0.33,0.67,0.00,2.93,0.40,0.27,+0.28,10.3,29.3,35.2,21.3,2.00,82.8,56.2,13.0,89.7,67.2,11.7,1.00,8.6,0.33,0.33,4.90,Matches
75,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,26,1993,18.4,1.47,0.05,0.11,0.22,0.00,1.50,0.34,0.03,+0.03,9.51,26.2,36.3,25.2,3.91,74.6,52.9,8.04,91.9,64.4,8.48,0.87,10.3,1.14,1.14,0.86,Matches
76,Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Club,es La Liga,31,1988,4.7,1.91,0.00,0.21,0.21,0.00,1.34,0.36,-0.57,-0.57,9.36,23.4,40.0,29.6,5.96,61.9,46.4,6.38,80.0,58.3,8.72,1.28,14.6,0.00,0.00,2.23,Matches
77,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,31,1987,3.2,0.31,0.00,0.00,0.00,0.00,0.84,0.39,0.53,+0.53,2.81,7.50,37.5,23.4,4.38,20.0,31.0,7.81,36.0,39.9,6.56,0.63,9.5,1.25,1.24,5.47,Matches
78,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,26,1993,34.0,2.03,0.12,0.03,0.32,0.06,1.56,0.32,-0.41,-0.41,9.15,18.5,49.4,26.2,2.91,53.9,42.2,8.76,50.0,40.7,7.94,0.53,6.7,0.41,0.41,0.41,Matches
79,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,29,1989,34.0,1.29,0.06,0.03,0.18,0.00,1.43,0.35,0.14,+0.14,7.68,17.8,43.2,40.1,6.03,37.0,35.7,6.88,42.7,38.9,6.41,0.62,9.6,0.85,0.85,0.46,Matches
80,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,de Bundesliga,25,1994,6.0,2.83,0.17,0.00,0.17,0.00,1.95,0.34,-0.88,-0.88,5.67,13.8,41.0,34.2,6.17,33.7,34.0,8.17,28.6,33.4,7.17,0.67,9.3,0.67,0.67,2.65,Matches
81,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,28.3,1.63,0.25,0.11,0.21,0.07,1.37,0.25,-0.18,-0.18,10.2,21.9,46.8,27.8,4.31,57.6,43.1,7.81,75.6,53.5,9.93,0.95,9.6,0.57,0.57,0.46,Matches
82,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,2.03,0.31,0.00,0.31,0.10,2.10,0.31,0.17,+0.17,5.55,14.6,38.2,19.8,5.52,49.7,41.6,9.52,49.6,42.0,12.3,0.93,7.6,0.34,0.34,0.45,Matches
83,Lovre Kalinić\Lovre-Kalinic,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,1.18,0.00,0.00,0.29,0.00,0.85,0.21,-0.32,-0.31,7.35,25.3,29.1,23.8,3.82,64.2,48.3,11.2,89.5,61.1,13.5,2.35,17.4,0.59,0.59,4.94,Matches
84,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,2.00,0.00,0.00,0.00,0.00,1.40,0.29,-0.60,-0.57,9.00,18.0,50.0,25.0,8.00,48.0,40.0,9.00,66.7,45.6,19.0,0.00,0.0,1.00,1.00,13.4,Matches
85,Florian Kastenmeier\Florian-Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,22,1997,17.0,1.82,0.12,0.00,0.18,0.18,1.44,0.30,-0.21,-0.21,8.24,19.4,42.4,30.5,3.29,51.1,42.5,6.53,58.6,48.3,6.18,0.24,3.8,0.82,0.82,0.91,Matches
86,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,2.13,0.00,0.00,0.17,0.08,1.88,0.37,-0.17,-0.17,6.75,20.6,32.8,26.2,4.29,54.1,45.2,8.83,72.6,57.3,9.58,0.63,6.5,0.96,0.96,0.65,Matches
87,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,2.25,0.00,0.00,0.50,0.00,1.77,0.35,-0.47,-0.48,9.50,22.0,43.2,24.0,3.75,64.6,45.4,8.25,78.8,55.3,11.0,0.50,4.5,1.00,1.00,4.30,Matches
88,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,1.89,0.08,0.03,0.36,0.08,1.81,0.32,0.00,0.00,7.25,20.4,35.6,33.8,4.94,45.1,39.8,9.25,55.3,45.1,10.6,0.78,7.3,0.47,0.47,0.39,Matches
89,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,1.07,0.11,0.00,0.11,0.00,0.94,0.24,-0.13,-0.13,6.11,17.8,34.3,25.8,4.85,48.2,40.8,6.93,77.5,55.3,8.22,0.56,6.8,0.85,0.85,0.59,Matches
90,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,1.28,0.11,0.00,0.19,0.00,1.53,0.29,0.26,+0.26,6.73,16.8,40.0,29.8,5.38,43.3,39.2,8.83,44.7,38.9,11.4,1.02,8.9,0.71,0.71,0.54,Matches
91,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,1.57,0.21,0.00,0.29,0.04,1.47,0.28,-0.07,-0.07,6.25,13.5,46.3,22.8,4.86,39.9,36.6,7.46,58.9,45.1,8.93,0.93,10.4,0.43,0.43,0.51,Matches
92,Nicolas Lemaître\Nicolas-Lemaitre,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,3.00,1.00,0.00,1.00,0.00,2.20,0.45,-0.80,-0.80,3.00,8.00,37.5,19.0,4.00,21.1,24.6,8.00,50.0,37.5,5.00,0.00,0.0,0.00,0.00,11.0,Matches
93,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,1.33,0.20,0.00,0.20,0.00,1.53,0.27,0.21,+0.21,3.06,10.9,28.1,25.1,5.92,28.1,31.9,8.54,44.6,40.0,9.29,0.61,6.6,0.61,0.61,0.46,Matches
94,Donovan Léon\Donovan-Leon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,2.14,0.71,0.00,0.00,0.00,1.79,0.16,-0.36,-0.33,7.14,15.0,47.6,25.0,5.00,48.6,42.5,4.29,66.7,48.5,12.1,0.71,5.9,0.00,0.00,8.36,Matches
95,Karlo Letica\Karlo-Letica,hr CRO,GK,SPAL,it Serie A,22,1997,10.0,2.90,0.00,0.20,0.10,0.10,2.25,0.33,-0.55,-0.55,6.40,17.4,36.8,22.6,5.30,50.0,40.6,9.30,65.6,48.6,10.3,0.70,6.8,0.10,0.10,1.17,Matches
96,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,1.04,0.10,0.00,0.10,0.05,1.36,0.27,0.36,+0.36,6.62,14.9,44.3,20.8,4.08,49.9,40.7,7.41,61.1,44.1,9.40,0.55,5.8,0.20,0.20,0.57,Matches
97,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,0.96,0.08,0.04,0.08,0.12,0.92,0.26,0.08,+0.08,4.92,10.3,47.9,24.3,5.38,30.2,32.2,7.15,40.9,38.0,8.46,0.62,7.3,0.58,0.58,0.57,Matches
98,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,1.62,0.17,0.00,0.17,0.06,1.40,0.30,-0.16,-0.15,6.27,19.2,32.6,23.4,3.29,57.1,45.2,8.44,70.0,52.0,8.41,0.72,8.6,0.86,0.86,0.41,Matches
99,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32.0,1.41,0.25,0.03,0.13,0.00,1.33,0.28,-0.08,-0.08,5.47,11.7,46.9,26.5,5.59,34.8,33.6,6.50,37.5,35.4,7.44,0.47,6.3,0.75,0.75,0.47,Matches
100,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,1.20,0.00,0.00,0.00,0.10,1.40,0.42,0.30,+0.30,7.10,19.0,37.4,32.8,5.00,43.6,39.3,9.10,51.6,43.0,11.3,1.20,10.6,0.40,0.40,1.32,Matches
101,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,0.96,0.14,0.04,0.04,0.11,0.86,0.26,0.01,+0.01,5.64,15.2,37.2,20.1,5.07,49.1,41.7,7.14,74.5,58.8,7.14,0.82,11.5,0.32,0.32,0.49,Matches
102,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,1.03,0.15,0.00,0.08,0.11,1.02,0.27,0.10,+0.10,5.29,15.2,34.7,26.8,5.10,44.5,40.0,5.40,61.3,48.3,7.30,0.57,7.8,0.65,0.65,0.55,Matches
103,Daniel Martín\Daniel-Martin,es ESP,GK,Betis,es La Liga,21,1998,5.9,2.03,0.00,0.00,0.17,0.00,1.32,0.30,-0.71,-0.72,6.27,12.9,48.7,26.8,5.93,36.1,33.9,6.10,52.8,45.4,9.83,0.51,5.2,0.34,0.34,2.20,Matches
104,David Martin\David-Martin,eng ENG,GK,West Ham,eng Premier League,33,1986,4.8,1.25,0.00,0.00,0.21,0.00,1.63,0.39,0.38,+0.38,8.13,22.1,36.8,16.7,2.08,80.0,55.3,9.17,95.5,65.4,11.5,0.21,1.8,0.00,0.00,1.88,Matches
105,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,eng Premier League,26,1992,8.6,1.05,0.12,0.00,0.35,0.00,1.50,0.29,0.45,+0.46,4.42,13.1,33.6,27.0,5.35,34.5,35.1,7.09,54.1,47.0,9.30,0.58,6.3,0.35,0.35,1.43,Matches
106,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,30,1989,35.0,1.11,0.17,0.06,0.09,0.00,1.29,0.33,0.18,+0.18,7.03,21.4,32.8,20.5,3.37,66.2,48.3,9.63,81.6,59.0,10.5,0.49,4.6,0.31,0.31,0.34,Matches
107,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,29,1989,28.0,1.25,0.04,0.00,0.14,0.04,1.45,0.36,0.23,+0.23,7.04,19.9,35.4,22.8,2.64,63.9,48.0,6.32,83.6,61.4,9.25,0.71,7.7,0.50,0.50,0.53,Matches
108,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,eng Premier League,35,1984,1.8,3.33,0.00,0.00,0.00,0.00,2.72,0.36,-0.61,-0.62,5.00,16.1,31.0,20.6,5.56,54.1,38.4,7.78,64.3,45.8,8.89,0.00,0.0,0.56,0.57,8.50,Matches
109,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,27,1992,24.0,0.79,0.13,0.04,0.17,0.04,0.83,0.23,0.07,+0.07,8.67,16.9,51.4,26.3,4.04,47.1,39.4,6.75,66.7,47.6,8.21,0.83,10.2,0.67,0.67,0.59,Matches
110,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,22,1997,21.7,1.52,0.23,0.00,0.14,0.05,1.28,0.29,-0.20,-0.20,2.26,6.13,36.8,21.4,3.92,23.7,28.1,6.31,16.8,24.4,7.05,0.37,5.2,0.28,0.28,0.56,Matches
111,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,36,1983,5.0,1.00,0.20,0.00,0.00,0.00,1.14,0.25,0.14,+0.14,5.20,11.2,46.4,28.6,6.20,35.0,32.8,5.80,20.7,30.3,10.0,0.80,8.0,0.80,0.80,2.66,Matches
112,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,eng Premier League,29,1990,2.0,3.00,0.00,0.00,0.00,0.00,2.15,0.36,-0.85,-0.86,5.00,19.5,25.6,18.5,2.00,75.7,58.9,5.50,100.0,76.5,2.50,0.00,0.0,0.00,0.00,5.70,Matches
113,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,33,1986,5.0,0.80,0.40,0.00,0.00,0.00,1.50,0.30,0.70,+0.70,5.60,19.4,28.9,26.8,6.00,53.7,43.5,8.40,59.5,47.0,7.80,0.60,7.7,0.40,0.40,2.88,Matches
114,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,de Bundesliga,21,1997,12.5,2.00,0.16,0.16,0.16,0.00,1.85,0.33,-0.15,-0.15,7.04,17.2,40.9,29.0,6.16,38.3,36.6,9.52,63.9,50.2,9.28,0.64,6.9,1.12,1.12,1.29,Matches
115,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,25,1994,38.0,1.34,0.21,0.05,0.16,0.00,1.42,0.25,0.08,+0.08,5.74,12.9,44.4,21.6,4.50,40.9,36.3,9.45,43.5,36.6,9.55,1.00,10.5,0.39,0.39,0.32,Matches
116,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,25,1994,2.0,1.50,0.00,0.00,0.00,0.00,0.85,0.34,-0.65,-0.64,3.50,9.00,38.9,34.5,4.50,21.7,29.7,5.00,30.0,29.4,6.50,0.50,7.7,1.00,1.00,8.05,Matches
117,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,fr Ligue 1,32,1986,21.0,0.86,0.00,0.00,0.00,0.05,0.73,0.24,-0.08,-0.08,3.19,6.29,50.8,19.3,3.62,24.4,30.9,6.57,23.9,29.7,5.33,0.33,6.3,0.33,0.33,0.67,Matches
118,Neto\Neto,br BRA,GK,Barcelona,es La Liga,30,1989,2.0,1.00,0.00,0.00,0.00,0.00,0.75,0.50,-0.25,-0.25,2.00,5.00,40.0,23.5,2.50,17.0,24.6,7.50,13.3,22.8,6.50,0.00,0.0,0.50,0.50,5.90,Matches
119,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,33,1986,33.0,0.94,0.09,0.00,0.18,0.03,0.98,0.27,0.08,+0.08,6.61,11.2,58.9,38.4,6.12,26.0,30.1,5.42,22.3,29.0,5.91,0.39,6.7,1.64,1.64,0.58,Matches
120,Moritz Nicolas\Moritz-Nicolas,de GER,GK,Union Berlin,de Bundesliga,21,1997,1.0,4.00,0.00,0.00,1.00,0.00,2.90,0.36,-1.10,-1.15,8.00,20.0,40.0,29.0,0.00,55.2,44.7,7.00,57.1,48.9,4.00,0.00,0.0,1.00,1.00,13.7,Matches
121,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,de Bundesliga,22,1996,25.7,1.56,0.16,0.04,0.23,0.08,1.44,0.30,-0.04,-0.03,6.58,17.2,38.1,31.2,4.32,39.7,37.9,8.05,60.4,47.1,8.33,0.39,4.7,0.62,0.62,0.57,Matches
122,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,eng Premier League,28,1990,6.0,2.00,0.00,0.00,0.00,0.00,1.43,0.33,-0.57,-0.57,6.17,18.2,33.9,21.5,4.67,49.6,44.0,8.83,84.9,62.5,9.33,0.33,3.6,0.50,0.50,2.20,Matches
123,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,26,1993,37.7,0.72,0.08,0.03,0.11,0.08,0.67,0.22,0.03,+0.03,6.95,17.4,39.9,17.1,2.94,64.4,46.9,8.33,76.4,56.5,9.20,0.50,5.5,0.45,0.45,0.37,Matches
124,Oier Olazábal\Oier-Olazabal,es ESP,GK,Espanyol,es La Liga,29,1989,2.0,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.20,+0.20,4.50,10.0,45.0,25.0,7.50,26.0,31.9,6.00,58.3,44.2,6.50,0.50,7.7,0.00,0.00,6.60,Matches
125,Robin Olsen\Robin-Olsen,se SWE,GK,Cagliari,it Serie A,29,1990,16.9,1.42,0.24,0.00,0.06,0.12,1.30,0.23,-0.01,-0.01,6.21,16.4,37.8,20.2,3.67,55.4,45.1,9.41,56.0,47.3,11.8,0.71,6.0,0.24,0.24,0.66,Matches
126,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,30,1988,16.3,1.04,0.12,0.06,0.12,0.00,1.10,0.31,0.06,+0.06,3.31,6.69,49.5,23.5,3.56,23.5,28.3,5.15,22.6,24.1,7.79,0.67,8.7,0.55,0.55,0.86,Matches
127,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,fr Ligue 1,31,1988,26.5,1.17,0.11,0.00,0.23,0.00,1.32,0.26,0.15,+0.15,8.30,23.9,34.7,25.6,4.26,65.6,49.4,7.89,90.4,64.9,10.8,1.32,12.2,0.98,0.98,0.59,Matches
128,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,27,1992,26.2,1.41,0.31,0.11,0.08,0.00,1.29,0.30,-0.13,-0.13,11.1,23.5,47.1,21.5,3.51,68.7,47.9,9.62,91.3,61.0,9.69,0.65,6.7,0.46,0.46,0.51,Matches
129,Daniele Padelli\Daniele-Padelli,it ITA,GK,Inter,it Serie A,33,1985,3.0,1.33,0.33,0.00,0.67,0.00,1.07,0.39,-0.27,-0.27,3.33,8.00,41.7,22.3,4.67,26.9,32.0,8.00,25.0,30.7,12.0,0.33,2.8,0.00,0.00,3.10,Matches
130,Miquel Parera\Miquel-Parera,es ESP,GK,Mallorca,es La Liga,23,1996,1.0,2.00,0.00,0.00,0.00,0.00,1.60,0.31,-0.40,-0.45,3.00,14.0,21.4,22.0,3.00,50.0,43.0,4.00,75.0,62.8,6.00,1.00,16.7,0.00,0.00,6.00,Matches
131,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,31,1988,38.0,1.05,0.03,0.03,0.18,0.03,1.06,0.32,0.03,+0.03,7.42,15.3,48.4,15.3,3.26,59.7,44.6,7.42,84.0,55.6,9.18,0.39,4.3,0.21,0.21,0.33,Matches
132,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,27,1992,33.0,2.03,0.03,0.03,0.39,0.09,1.48,0.28,-0.45,-0.46,7.42,17.6,42.2,27.4,4.91,45.8,39.3,8.97,56.1,44.7,10.8,0.42,3.9,0.70,0.70,0.43,Matches
133,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,38,1981,5.0,0.80,0.00,0.00,0.00,0.20,1.12,0.22,0.52,+0.52,3.00,7.80,38.5,24.4,4.80,24.6,26.9,7.20,25.0,22.7,7.40,0.20,2.7,0.20,0.20,2.30,Matches
134,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,36,1982,1.7,1.18,0.00,0.00,0.00,0.00,1.53,0.31,0.35,+0.34,1.18,7.65,15.4,19.4,4.12,15.2,28.8,8.24,57.1,45.9,8.24,0.00,0.0,1.18,1.21,11.8,Matches
135,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,34,1985,4.0,1.00,0.25,0.00,0.00,0.00,1.52,0.26,0.53,+0.51,5.00,13.5,37.0,33.3,5.75,33.1,33.5,7.25,34.5,37.1,11.8,0.75,6.4,2.00,2.00,4.00,Matches
